session_id,CA1,LGd,VISal,VISam,VISl,VISp,VISpm,VISrl
715093703,140.0,82.0,,30.0,37.0,,50.0,75.0
719161530,107.0,71.0,,37.0,40.0,52.0,,
721123822,70.0,,,38.0,27.0,40.0,,
732592105,,,,,30.0,109.0,66.0,61.0
739448407,,,,56.0,24.0,,,64.0
742951821,,,44.0,,46.0,,23.0,78.0
743475441,20.0,42.0,,53.0,,45.0,,68.0
744228101,104.0,,36.0,,22.0,35.0,,26.0
746083955,,34.0,24.0,,,,114.0,35.0
750332458,,,64.0,60.0,34.0,62.0,,37.0
750749662,96.0,81.0,41.0,64.0,,52.0,61.0,40.0
751348571,74.0,53.0,,71.0,21.0,49.0,36.0,82.0
754312389,128.0,27.0,31.0,64.0,,102.0,21.0,36.0
754829445,118.0,90.0,,47.0,,88.0,21.0,28.0
755434585,41.0,43.0,32.0,94.0,21.0,73.0,61.0,47.0
756029989,112.0,59.0,49.0,72.0,27.0,49.0,90.0,24.0
757216464,108.0,,51.0,64.0,51.0,85.0,,37.0
757970808,123.0,45.0,52.0,69.0,,79.0,,46.0
758798717,115.0,,79.0,48.0,,45.0,22.0,
759883607,82.0,23.0,41.0,55.0,,56.0,47.0,
760345702,87.0,37.0,53.0,55.0,48.0,72.0,44.0,
760693773,,,128.0,70.0,,88.0,53.0,66.0
761418226,143.0,41.0,185.0,,,36.0,39.0,109.0
762120172,,,89.0,33.0,73.0,83.0,,
762602078,101.0,,,52.0,,75.0,,58.0
763673393,128.0,77.0,,73.0,36.0,73.0,,43.0
773418906,70.0,,164.0,,,37.0,,38.0
791319847,84.0,,42.0,48.0,54.0,93.0,,58.0
797828357,47.0,,,66.0,58.0,84.0,51.0,
798911424,132.0,,89.0,132.0,78.0,93.0,,46.0
799864342,106.0,70.0,52.0,28.0,40.0,73.0,,29.0
